Position_um,WT_Mean,WT_SD,KO_Mean,KO_SD
-321.969681,0.0841818043266409,0.0981132216491214,0.0401247953093957,0.0520559891300547
-309.343419,0.0958716898074768,0.0838565482598184,0.0549945318826311,0.0558222732000866
-296.717157,0.112645465308272,0.0806299297493662,0.0696754817227606,0.0576159746625363
-284.090895,0.167823842258875,0.0932852032990221,0.113625298197074,0.0738467094097169
-271.464633,0.247110642480818,0.106399321206483,0.188883288285329,0.122360974453273
-258.838371,0.400869775204242,0.162369274067681,0.311250310107556,0.169775666820922
-246.212109,0.546466023435874,0.182724079400499,0.490446366018742,0.226247274768796
-233.585847,0.671368276797557,0.196744988806582,0.647330443919403,0.184901186054963
-220.959585,0.765831891575237,0.156552662536121,0.792781633189215,0.177816311206238
-208.333323,0.830037363603086,0.121949111057485,0.844674047575641,0.134438161543161
-195.707061,0.878122418356451,0.0817831468190251,0.930584063336035,0.0828069458423536
-183.080799,0.897454777707012,0.0931823953199602,0.936437192188935,0.032477261831811
-170.454537,0.843275186832283,0.0974681786437551,0.943124323125938,0.0701550276828316
-157.828275,0.778377112990218,0.10043402333313,0.918210854592914,0.0544458518842957
-145.202013,0.76201853339823,0.0974872767624082,0.869120430145425,0.0831423126625159
-132.575751,0.759298771421321,0.133383355815053,0.789551530563023,0.116796782714938
-119.949489,0.737628077482127,0.144777063618303,0.705679660896466,0.0983970323536331
-107.323227,0.685054706241696,0.149253191928786,0.693039009192634,0.110894518866834
-94.696965,0.647386152494889,0.109860919789654,0.675187723332439,0.139771593663467
-82.070703,0.586495760687393,0.120146772644461,0.601217348330034,0.145904311078924
-69.444441,0.486516362017652,0.10921813765836,0.51214700712116,0.143561845713566
-56.818179,0.43827948659346,0.130245981996676,0.425509755715697,0.134251185408023
-44.191917,0.326330197913026,0.108899650676997,0.346571965570064,0.0966875404724861
-31.565655,0.231410888413389,0.134210573800073,0.275298964741792,0.083098501416079
-18.939393,0.133691990775635,0.118604465652129,0.212589249048284,0.0633010761792583
-6.313131,0.149235307468705,0.130256418877503,0.166073447677714,0.103018848952184
6.313131,0.181039382508256,0.10491567189647,0.17371767011559,0.0738991245160274
18.939393,0.230268074503283,0.124179090270063,0.209362251182315,0.106222244981556
31.565655,0.292648140603649,0.142814135423702,0.256241458603801,0.125477491257375
44.191917,0.396670550821308,0.159856796426708,0.340173760249648,0.165516064924692
56.818179,0.505525535369284,0.164975053634736,0.380456455849976,0.159920643582999
69.444441,0.595122037853528,0.175210261000441,0.427101191391497,0.147085861924943
82.070703,0.655603956750032,0.171502522331342,0.513202530703062,0.16925236615215
94.696965,0.716453559285413,0.167656472805321,0.527272918640852,0.132207662882141
107.323227,0.710290395402934,0.162761981913089,0.558733592833413,0.128300420476604
119.949489,0.704953331963676,0.172610800623535,0.599840508631813,0.112331428414081
132.575751,0.709414897623626,0.129339208712569,0.611433697872694,0.144886796952434
145.202013,0.750691329316416,0.116941426070012,0.614205005505718,0.132820055105856
157.828275,0.749382703333218,0.163813568297249,0.605655758251942,0.0857051084405643
170.454537,0.785077065749478,0.186806555065861,0.584571787755187,0.084981563111925
183.080799,0.768653882033846,0.17881976650078,0.555464238656053,0.102263247130889
195.707061,0.778823427171281,0.17104091876964,0.505502600127447,0.129360065106604
208.333323,0.657602274726513,0.168546591424495,0.419819871522001,0.145114582653625
220.959585,0.574185191968384,0.235470364746541,0.321196655170479,0.175003381203414
233.585847,0.403637405972227,0.210636273699492,0.2285785227696,0.172548013099152
246.212109,0.295062340665214,0.181249197596878,0.148311105347315,0.119294915340631
258.838371,0.188565783287647,0.131449507068969,0.0882812653202862,0.049223804533743
271.464633,0.110393023355277,0.0777618901253426,0.0537431641411021,0.0334848170319425
284.090895,0.0720500550490451,0.0481011721398149,0.0400812749475651,0.0229032409910412
296.717157,0.0553102889047574,0.0580539098123622,0.0281945649558739,0.0260473919916418
309.343419,0.0271778148359869,0.0518591793219167,0.0164445153060187,0.0227852450048277
