Position_um,WT_Mean,WT_SD,KO_Mean,KO_SD
-321.969681,0.0470362682541506,0.0482469854156816,0.0164606669046384,0.025229489886799
-309.343419,0.0619981502469034,0.048869081216717,0.0283242582954156,0.0256540882106341
-296.717157,0.0871336886134465,0.052983401469369,0.0352571136778749,0.0254673025346454
-284.090895,0.126354237476697,0.0692622058815079,0.059375661026601,0.0379142105542847
-271.464633,0.199242235743449,0.106217650586811,0.0977480129018857,0.0750117538735943
-258.838371,0.335269157324464,0.164645375433856,0.148795917564098,0.107280560423659
-246.212109,0.463750903826082,0.182631524183198,0.250653886575376,0.162237355839779
-233.585847,0.589641488446793,0.161986179556558,0.333552559049606,0.177670912986622
-220.959585,0.74615147784261,0.168168690825472,0.400583057592977,0.132953376376495
-208.333323,0.784898630619561,0.15559851494794,0.439965245708886,0.103109763795144
-195.707061,0.809038571111543,0.112847827282668,0.538511126451135,0.106574365644174
-183.080799,0.832658251137507,0.121532167638406,0.553732468348392,0.108865519265331
-170.454537,0.751889858834671,0.112660921325916,0.56498012303591,0.121740650181364
-157.828275,0.746119837691326,0.0958423795377133,0.559501056053673,0.128731609771565
-145.202013,0.725967673593608,0.100857504211914,0.510867090756523,0.109516030882842
-132.575751,0.714378350117732,0.101838259399839,0.461509057378443,0.087527002591457
-119.949489,0.714028453991969,0.134628336902067,0.424411803849605,0.0841481715187297
-107.323227,0.69077069237383,0.0744596556880363,0.403558411936857,0.0832227362898854
-94.696965,0.636007731864305,0.104973324556897,0.4133428935896,0.130279717800395
-82.070703,0.571502620508044,0.165881373607729,0.400774781550023,0.135802251227416
-69.444441,0.476921065765458,0.124372901534127,0.337720479604852,0.0918063718460667
-56.818179,0.395115587419851,0.121295259138362,0.276070556860332,0.0978315265536644
-44.191917,0.311353629419609,0.119616541557469,0.240574715569174,0.0829021345111996
-31.565655,0.236504385672459,0.136657937702948,0.20441230603825,0.088934930695639
-18.939393,0.151545982574287,0.116886964615185,0.144244502806676,0.066700543089033
-6.313131,0.111796638184554,0.0962999149082606,0.0993127307508751,0.0675249574037907
6.313131,0.12677171662779,0.0729816416681286,0.139602882288107,0.0923475571716583
18.939393,0.200383485140032,0.0642220892105118,0.211417247935956,0.134534418053812
31.565655,0.29218478602991,0.105776149974385,0.282739193529669,0.152626310948555
44.191917,0.381220837731855,0.0898830909506416,0.379151721003693,0.177189585900477
56.818179,0.463276603022414,0.110109662507451,0.408065541993131,0.16299086592329
69.444441,0.534078977230186,0.123199101478661,0.430868992571907,0.12472425439063
82.070703,0.607674588548613,0.161835544693604,0.545349655592305,0.116698673140468
94.696965,0.622871669633455,0.163374051482162,0.605218175327549,0.103788465520349
107.323227,0.598696257421562,0.147325824626913,0.651102357245406,0.0940403632205864
119.949489,0.613891993716193,0.176585438927912,0.748306482190969,0.121766914496022
132.575751,0.653666144742377,0.158857123539636,0.811679345680852,0.110399356379777
145.202013,0.718971169764426,0.135546509401809,0.915804828991786,0.105942637417846
157.828275,0.764132627594894,0.155569795414767,0.88719757903955,0.0741532233982998
170.454537,0.826256013887481,0.165180086260198,0.89692573457616,0.0809999926501135
183.080799,0.806862633851878,0.160145214868248,0.872218002591944,0.103849057999523
195.707061,0.784045207778979,0.184923950738421,0.826576781104701,0.153380298567557
208.333323,0.671604252230755,0.223713397590693,0.69898554529025,0.178722950239547
220.959585,0.565656114209352,0.231068171973028,0.533440425209686,0.269127600226036
233.585847,0.380022521524315,0.198130261997411,0.390878373115799,0.289708451590184
246.212109,0.257270445863744,0.157564957926176,0.251987146397222,0.21719189705979
258.838371,0.150975934083897,0.0939057287545161,0.164927049094865,0.135507039008047
271.464633,0.0953512608553479,0.060225117330313,0.10578613921533,0.105111514671145
284.090895,0.0808147740997975,0.0552875137039901,0.068205703634635,0.066747553003672
296.717157,0.0674907388227168,0.0580323790180235,0.0523922327564961,0.0527607551379116
309.343419,0.0537143075678636,0.0599808671717147,0.0478391948596028,0.0487860252744638
